entity_key,level,gid
NO-TRONDELAG,1,NOR.9_1
NO-TRONDELAG,1,NOR.15_1
NO-VIKEN,1,NOR.1_1
NO-VIKEN,1,NOR.4_1
NO-VIKEN,1,NOR.2_1
NO-INNLANDET,1,NOR.6_1
NO-INNLANDET,1,NOR.11_1
NO-VESTLAND,1,NOR.7_1
NO-VESTLAND,1,NOR.14_1
NO-VESTFOLD-TELEMARK,1,NOR.19_1
NO-VESTFOLD-TELEMARK,1,NOR.16_1
NO-TROMS-FINNMARK,1,NOR.17_1
NO-TROMS-FINNMARK,1,NOR.5_1
NO-AGDER,1,NOR.3_1
NO-AGDER,1,NOR.18_1
SE-LAN-SWE.1_1,1,SWE.1_1
SE-LAN-SWE.10_1,1,SWE.10_1
SE-LAN-SWE.11_1,1,SWE.11_1
SE-LAN-SWE.12_1,1,SWE.12_1
SE-LAN-SWE.13_1,1,SWE.13_1
SE-LAN-SWE.14_1,1,SWE.14_1
SE-LAN-SWE.15_1,1,SWE.15_1
SE-LAN-SWE.16_1,1,SWE.16_1
SE-LAN-SWE.17_1,1,SWE.17_1
SE-LAN-SWE.18_1,1,SWE.18_1
SE-LAN-SWE.19_1,1,SWE.19_1
SE-LAN-SWE.2_1,1,SWE.2_1
SE-LAN-SWE.20_1,1,SWE.20_1
SE-LAN-SWE.21_1,1,SWE.21_1
SE-LAN-SWE.3_1,1,SWE.3_1
SE-LAN-SWE.4_1,1,SWE.4_1
SE-LAN-SWE.5_1,1,SWE.5_1
SE-LAN-SWE.6_1,1,SWE.6_1
SE-LAN-SWE.7_1,1,SWE.7_1
SE-LAN-SWE.8_1,1,SWE.8_1
SE-LAN-SWE.9_1,1,SWE.9_1
