"user_id","country","state_province","county_parish"
NA,"Russia","Lipetsk","Dobrovskiy rayon"
NA,"Mexico","Sonora, Estado de","Huépac"
NA,"Guatemala","Izabal",""
NA,"USA","Arizona","Pima County"
NA,"U.S.A","Arizona","Pima"
NA,"USA","Ilinois",""
NA,"Mexico","Quintana Roo","Lázaro Cárdenas"
NA,"Mexico","Quintana Roo","Municipio de Lázaro Cárdenas"
NA,"Ukraine","Kharkiv","Novovodolaz'kyi"
NA,"Canada","Province of Nova Scotia",""
NA,"Germany","Niedersachsen","Emden"
NA,"United States","Arkansas","Greene"
NA,"Romania","Covasna","Intorsura Buzaului"
NA,"United States","Kansas","Jewell"
NA,"Mexico","Chiapas","Villa Corzo"
NA,"Romania","Cluj","Marisel"
NA,"Mexico","Nuevo León","Los Aldamas"
NA,"South Korea","Busan","Haeundae"
NA,"Mexico","Guanajuato","Jerécuaro"
NA,"Colombia","Cundinamarca","Medina"
NA,"Thailand","Chaiyaphum","Nong Bua Daeng"
