entity_key,name,source
SUHH,USSR,curated
SUHH,U.S.S.R.,curated
SUHH,U.S.S.R,curated
SUHH,Soviet Union,curated
SUHH,SSSR,curated
SUHH,CCCP,curated
SUHH,UdSSR,curated
SUHH,URSS,curated
SUHH,Union of Soviet Socialist Republics,curated
SUHH,Former USSR,curated
SUHH,Former U.S.S.R.,curated
SUHH,Ex-USSR,curated
SUHH,Ex USSR,curated
SUHH,Former Soviet Union,curated
SUHH,USSR (former),curated
YUCS,Yugoslavia,curated
YUCS,Jugoslavija,curated
YUCS,Jugoslawien,curated
YUCS,Yougoslavie,curated
YUCS,Yugoslavia (Former),curated
YUCS,Former Yugoslavia,curated
YUCS,Ex-Yugoslavia,curated
YUCS,SFR Yugoslavia,curated
YUCS,SFRY,curated
YUCS,Socialist Federal Republic of Yugoslavia,curated
YUCS,Kingdom of Yugoslavia,curated
YUCS,"Kingdom of Serbs, Croats and Slovenes",curated
CSXX,Serbia and Montenegro,curated
CSXX,Serbia & Montenegro,curated
CSXX,Federal Republic of Yugoslavia,curated
CSXX,FR Yugoslavia,curated
CSXX,Srbija i Crna Gora,curated
CSHH,Czechoslovakia,curated
CSHH,Czecho-Slovakia,curated
CSHH,Tschechoslowakei,curated
CSHH,Tchécoslovaquie,curated
CSHH,Checoslovaquia,curated
CSHH,ČSSR,curated
CSHH,CSSR,curated
CSHH,ČSR,curated
CSHH,Czechoslovakia (Former),curated
CSHH,Former Czechoslovakia,curated
DDDE,German Democratic Republic,curated
DDDE,GDR,curated
DDDE,DDR,curated
DDDE,East Germany,curated
DDDE,"Germany, East",curated
DDDE,Deutsche Demokratische Republik,curated
DDDE,RDA,curated
YDYE,South Yemen,curated
YDYE,People's Democratic Republic of Yemen,curated
YDYE,"Yemen, Democratic",curated
YDYE,Democratic Yemen,curated
YDYE,PDR Yemen,curated
VNRV,Republic of Vietnam,curated
VNRV,South Vietnam,curated
VNRV,"Vietnam, South",curated
VNRV,South Viet Nam,curated
ANHH,Netherlands Antilles,curated
ANHH,Nederlandse Antillen,curated
ANHH,Antilles néerlandaises,curated
RUBI,Ruanda-Urundi,curated
RUBI,Ruanda Urundi,curated
CSH665,Mandatory Palestine,curated
CSH665,British Mandate of Palestine,curated
CSH665,Palestine Mandate,curated
CSH21,Newfoundland,curated
CSH21,Dominion of Newfoundland,curated
MM,Burma,curated
CD,Zaire,curated
CD,Zaïre,curated
CD,Belgian Congo,curated
CD,Congo (Kinshasa),curated
CD,Congo-Kinshasa,curated
CG,Congo (Brazzaville),curated
CG,Congo-Brazzaville,curated
CG,French Congo,curated
BJ,Dahomey,curated
BF,Upper Volta,curated
BF,Haute-Volta,curated
LK,Ceylon,curated
TH,Siam,curated
IR,Persia,curated
BY,Byelorussia,curated
BY,Belorussia,curated
BY,Byelorussian SSR,curated
BY,Belorussian SSR,curated
ZW,Rhodesia,curated
ZW,Southern Rhodesia,curated
ZM,Northern Rhodesia,curated
MW,Nyasaland,curated
LS,Basutoland,curated
BW,Bechuanaland,curated
GH,Gold Coast,curated
ML,French Sudan,curated
BZ,British Honduras,curated
GY,British Guiana,curated
SR,Dutch Guiana,curated
SR,Netherlands Guiana,curated
GQ,Spanish Guinea,curated
ET,Abyssinia,curated
KH,Kampuchea,curated
KH,Khmer Republic,curated
VU,New Hebrides,curated
TL,East Timor,curated
TL,Portuguese Timor,curated
DJ,French Somaliland,curated
DJ,French Territory of the Afars and the Issas,curated
TZ,Tanganyika,curated
KI,Gilbert Islands,curated
TV,Ellice Islands,curated
